,index,level_0,level_1,Bldg:,Room:,Days:,Time:,Class Enrl Tot:,start_time,end_time
946,946,DRAM, 135,Center for Dramatic ,0103,MWF,08:00 - 08:50,18,1900-01-01 08:00:00,1900-01-01 08:50:00
973,973,DRAM, 726,Center for Dramatic ,0103,MTuWThFSaS,13:00 - 18:00,6,1900-01-01 13:00:00,1900-01-01 18:00:00
945,945,DRAM, 135,Center for Dramatic ,0104,MWF,08:00 - 08:50,18,1900-01-01 08:00:00,1900-01-01 08:50:00
933,933,DRAM,  79,Center for Dramatic ,0104,MW,11:15 - 12:30,25,1900-01-01 11:15:00,1900-01-01 12:30:00
960,960,DRAM, 290,Center for Dramatic ,0104,M,13:25 - 15:55,4,1900-01-01 13:25:00,1900-01-01 15:55:00
957,957,DRAM, 281,Center for Dramatic ,0105,MWF,09:05 - 09:55,36,1900-01-01 09:05:00,1900-01-01 09:55:00
951,951,DRAM, 193,Center for Dramatic ,0125,MWF,19:00 - 19:50,33,1900-01-01 19:00:00,1900-01-01 19:50:00
969,969,DRAM, 650,Center for Dramatic ,0247,MWF,08:00 - 09:55,3,1900-01-01 08:00:00,1900-01-01 09:55:00
975,975,DRAM, 760,Center for Dramatic ,0247,M,10:05 - 12:10,3,1900-01-01 10:05:00,1900-01-01 12:10:00
977,977,DRAM, 790,Center for Dramatic ,0247,MTuWThF,13:00 - 17:00,2,1900-01-01 13:00:00,1900-01-01 17:00:00
978,978,DRAM, 792,Center for Dramatic ,0247,MTuWThF,13:00 - 17:00,3,1900-01-01 13:00:00,1900-01-01 17:00:00
987,987,DRAM, 992,Center for Dramatic ,0247,MTuWThF,13:00 - 17:00,2,1900-01-01 13:00:00,1900-01-01 17:00:00
950,950,DRAM, 192,Center for Dramatic ,0247,MWF,13:25 - 15:15,11,1900-01-01 13:25:00,1900-01-01 15:15:00
730,730,CHEM, 701,Chapman Hall,0125,M,08:00 - 08:50,79,1900-01-01 08:00:00,1900-01-01 08:50:00
243,243,ARTH, 155,Chapman Hall,0125,MW,09:05 - 09:55,65,1900-01-01 09:05:00,1900-01-01 09:55:00
713,713,CHEM, 481,Chapman Hall,0125,MWF,10:10 - 11:00,71,1900-01-01 10:10:00,1900-01-01 11:00:00
712,712,CHEM, 480,Chapman Hall,0125,MWF,11:15 - 12:05,89,1900-01-01 11:15:00,1900-01-01 12:05:00
734,734,CHEM, 741,Chapman Hall,0125,M,12:20 - 13:35,19,1900-01-01 12:20:00,1900-01-01 13:35:00
689,689,CHEM, 262L,Chapman Hall,0125,M,13:25 - 16:15,20,1900-01-01 13:25:00,1900-01-01 16:15:00
690,690,CHEM, 262L,Chapman Hall,0125,M,13:25 - 16:15,22,1900-01-01 13:25:00,1900-01-01 16:15:00
731,731,CHEM, 721,Chapman Hall,0125,MTh,16:00 - 17:30,18,1900-01-01 16:00:00,1900-01-01 17:30:00
2361,2361,PHYS, 118,Chapman Hall,0201,MWF,08:00 - 08:50,94,1900-01-01 08:00:00,1900-01-01 08:50:00
2362,2362,PHYS, 118,Chapman Hall,0201,MWF,09:05 - 09:55,157,1900-01-01 09:05:00,1900-01-01 09:55:00
317,317,ASIA, 150,Chapman Hall,0201,MW,11:15 - 12:05,159,1900-01-01 11:15:00,1900-01-01 12:05:00
2055,2055,MATH, 231,Chapman Hall,0201,MWF,12:20 - 13:10,159,1900-01-01 12:20:00,1900-01-01 13:10:00
2081,2081,MATH, 232,Chapman Hall,0201,MWF,13:25 - 14:15,119,1900-01-01 13:25:00,1900-01-01 14:15:00
1872,1872,HIST, 213,Chapman Hall,0201,MWF,14:30 - 15:20,176,1900-01-01 14:30:00,1900-01-01 15:20:00
2744,2744,PWAD, 213,Chapman Hall,0201,MWF,14:30 - 15:20,23,1900-01-01 14:30:00,1900-01-01 15:20:00
2344,2344,PHYS, 114,Chapman Hall,0211,MWF,08:00 - 08:50,189,1900-01-01 08:00:00,1900-01-01 08:50:00
2345,2345,PHYS, 114,Chapman Hall,0211,MWF,09:05 - 09:55,216,1900-01-01 09:05:00,1900-01-01 09:55:00
683,683,CHEM, 251,Chapman Hall,0211,MWF,10:10 - 11:00,93,1900-01-01 10:10:00,1900-01-01 11:00:00
688,688,CHEM, 262,Chapman Hall,0211,MWF,11:15 - 12:05,227,1900-01-01 11:15:00,1900-01-01 12:05:00
662,662,CHEM, 241L,Chapman Hall,0211,M,13:25 - 16:15,20,1900-01-01 13:25:00,1900-01-01 16:15:00
663,663,CHEM, 241L,Chapman Hall,0211,M,13:25 - 16:15,22,1900-01-01 13:25:00,1900-01-01 16:15:00
664,664,CHEM, 241L,Chapman Hall,0211,M,13:25 - 16:15,21,1900-01-01 13:25:00,1900-01-01 16:15:00
665,665,CHEM, 241L,Chapman Hall,0211,M,13:25 - 16:15,21,1900-01-01 13:25:00,1900-01-01 16:15:00
666,666,CHEM, 241L,Chapman Hall,0211,M,13:25 - 16:15,21,1900-01-01 13:25:00,1900-01-01 16:15:00
2324,2324,ASTR, 101L,Chapman Hall,0235,M,14:30 - 16:20,29,1900-01-01 14:30:00,1900-01-01 16:20:00
2325,2325,ASTR, 101L,Chapman Hall,0235,M,16:40 - 18:30,26,1900-01-01 16:40:00,1900-01-01 18:30:00
535,535,BIOL, 422,Coker,0201,MWF,09:05 - 09:55,54,1900-01-01 09:05:00,1900-01-01 09:55:00
2678,2678,PSYC, 242,Coker,0201,MWF,10:10 - 11:00,118,1900-01-01 10:10:00,1900-01-01 11:00:00
2466,2466,PLCY, 340,Coker,0201,MWF,11:15 - 12:05,144,1900-01-01 11:15:00,1900-01-01 12:05:00
913,913,COMP, 447,Coker,0201,MWF,12:20 - 13:10,45,1900-01-01 12:20:00,1900-01-01 13:10:00
2390,2390,PHYS, 447,Coker,0201,MWF,12:20 - 13:10,18,1900-01-01 12:20:00,1900-01-01 13:10:00
1797,1797,HIST, 140,Coker,0201,MW,13:25 - 14:15,191,1900-01-01 13:25:00,1900-01-01 14:15:00
482,482,BIOL, 205,Coker,0201,MWF,14:30 - 15:20,175,1900-01-01 14:30:00,1900-01-01 15:20:00
417,417,BIOL, 101L,Coker,0207,M,13:25 - 16:25,24,1900-01-01 13:25:00,1900-01-01 16:25:00
418,418,BIOL, 101L,Coker,0208,M,13:25 - 16:25,24,1900-01-01 13:25:00,1900-01-01 16:25:00
421,421,BIOL, 101L,Coker,0208,M,17:00 - 20:00,22,1900-01-01 17:00:00,1900-01-01 20:00:00
419,419,BIOL, 101L,Coker,0209,M,13:25 - 16:25,23,1900-01-01 13:25:00,1900-01-01 16:25:00
420,420,BIOL, 101L,Coker,0209,M,17:00 - 20:00,23,1900-01-01 17:00:00,1900-01-01 20:00:00
533,533,BIOL, 409L,Coker,0214,M,11:15 - 14:00,14,1900-01-01 11:15:00,1900-01-01 14:00:00
2917,2917,FREN, 260,Davie,0101,MWF,11:15 - 12:05,13,1900-01-01 11:15:00,1900-01-01 12:05:00
2636,2636,POLI, 787,Davie,0101,M,12:20 - 15:20,15,1900-01-01 12:20:00,1900-01-01 15:20:00
2492,2492,POLI,  67,Davie,0101,MW,15:35 - 16:50,23,1900-01-01 15:35:00,1900-01-01 16:50:00
2693,2693,PSYC, 270,Davie,0110,M,08:00 - 09:15,20,1900-01-01 08:00:00,1900-01-01 09:15:00
2694,2694,PSYC, 270,Davie,0110,M,09:30 - 10:45,20,1900-01-01 09:30:00,1900-01-01 10:45:00
2664,2664,PSYC, 210,Davie,0110,M,14:30 - 15:20,21,1900-01-01 14:30:00,1900-01-01 15:20:00
2665,2665,PSYC, 210,Davie,0110,M,15:35 - 16:25,22,1900-01-01 15:35:00,1900-01-01 16:25:00
2658,2658,PSYC, 210,Davie,0110,M,16:40 - 17:30,22,1900-01-01 16:40:00,1900-01-01 17:30:00
2659,2659,PSYC, 210,Davie,0110,M,17:45 - 18:35,22,1900-01-01 17:45:00,1900-01-01 18:35:00
1410,1410,ENEC, 202,Davie,0112,MWF,09:05 - 09:55,55,1900-01-01 09:05:00,1900-01-01 09:55:00
176,176,ANTH, 238,Davie,0112,MWF,10:10 - 11:00,46,1900-01-01 10:10:00,1900-01-01 11:00:00
1415,1415,ENEC, 238,Davie,0112,MWF,10:10 - 11:00,2,1900-01-01 10:10:00,1900-01-01 11:00:00
248,248,ARTH, 160,Davie,0112,MW,11:15 - 12:05,76,1900-01-01 11:15:00,1900-01-01 12:05:00
1140,1140,ENGL, 120,Davie,0112,MW,12:20 - 13:10,69,1900-01-01 12:20:00,1900-01-01 13:10:00
3175,3175,SOCI, 274,Davie,0112,MWF,13:25 - 14:15,72,1900-01-01 13:25:00,1900-01-01 14:15:00
1414,1414,ENEC, 203,Davie,0301,MWF,10:10 - 11:00,43,1900-01-01 10:10:00,1900-01-01 11:00:00
1840,1840,HIST, 151,Davie,0301,MWF,11:15 - 12:05,42,1900-01-01 11:15:00,1900-01-01 12:05:00
2281,2281,PHIL, 165,Davie,0301,MWF,13:25 - 14:15,39,1900-01-01 13:25:00,1900-01-01 14:15:00
2683,2683,PSYC, 245,Davie,0301,MWF,16:40 - 17:30,44,1900-01-01 16:40:00,1900-01-01 17:30:00
2682,2682,PSYC, 245,Davie,0301,MWF,17:45 - 18:35,45,1900-01-01 17:45:00,1900-01-01 18:35:00
3119,3119,SPAN, 344,Dey Hall,0102,MWF,11:15 - 12:05,23,1900-01-01 11:15:00,1900-01-01 12:05:00
3045,3045,SPAN, 203,Dey Hall,0102,MWF,12:20 - 13:10,18,1900-01-01 12:20:00,1900-01-01 13:10:00
3056,3056,SPAN, 203,Dey Hall,0102,MWF,13:25 - 14:15,19,1900-01-01 13:25:00,1900-01-01 14:15:00
